,Date,Time,Day Close,Day High,Day Low
0,2001-01-04,11:10:00,13650,14060,13640
1,2001-01-05,15:10:00,13810,13960,13650
2,2001-01-09,15:10:00,13570,13810,13460
3,2001-01-10,15:10:00,13410,13610,13360
4,2001-01-11,15:10:00,13240,13470,13120
5,2001-01-12,15:10:00,13360,13460,13240
6,2001-01-15,15:10:00,13490,13590,13360
7,2001-01-16,15:10:00,13590,13640,13440
8,2001-01-17,15:10:00,13700,13690,13480
9,2001-01-18,15:10:00,13870,13930,13700
10,2001-01-19,15:10:00,14060,14190,13870
11,2001-01-22,15:10:00,14010,14060,13840
12,2001-01-23,15:10:00,13990,14070,13910
13,2001-01-24,15:10:00,13830,14040,13830
14,2001-01-25,15:10:00,13810,13860,13720
15,2001-01-26,15:10:00,13740,13810,13630
16,2001-01-29,15:10:00,13890,13910,13730
17,2001-01-30,15:10:00,13820,13940,13720
18,2001-01-31,15:10:00,13860,13890,13720
19,2001-02-01,15:10:00,13700,13860,13660
20,2001-02-02,15:10:00,13750,13880,13700
21,2001-02-05,15:10:00,13390,13750,13370
22,2001-02-06,15:10:00,13330,13390,13230
23,2001-02-07,15:10:00,13360,13390,13260
24,2001-02-08,15:10:00,13190,13360,12970
25,2001-02-09,15:10:00,13490,13500,13160
26,2001-02-13,15:10:00,13280,13490,13250
27,2001-02-14,15:10:00,13290,13410,13130
28,2001-02-15,15:10:00,13330,13430,13250
29,2001-02-16,15:10:00,13180,13380,13150
30,2001-02-19,15:10:00,13170,13180,12950
31,2001-02-20,15:10:00,13220,13250,13060
32,2001-02-21,15:10:00,13130,13220,13080
33,2001-02-22,15:10:00,13110,13140,12860
34,2001-02-23,15:10:00,13260,13290,13040
35,2001-02-26,15:10:00,13250,13310,13170
36,2001-02-27,15:10:00,13010,13270,13010
37,2001-02-28,15:10:00,12880,13050,12800
38,2001-03-01,15:10:00,12680,12880,12510
39,2001-03-02,15:10:00,12210,12680,12220
40,2001-03-05,15:10:00,12290,12380,12130
41,2001-03-06,15:10:00,12710,12750,12290
42,2001-03-07,15:10:00,12720,12870,12530
43,2001-03-08,15:10:00,12660,12770,12570
44,2001-03-09,15:10:00,12630,12660,12450
45,2001-03-12,15:10:00,12150,12630,12130
46,2001-03-13,15:10:00,11780,12150,11650
47,2001-03-14,15:10:00,11730,11980,11750
48,2001-03-15,15:10:00,12160,12200,11350
49,2001-03-16,15:10:00,12230,12340,12010
50,2001-03-19,15:10:00,12000,12520,12010
51,2001-03-21,15:10:00,13000,13000,12000
52,2001-03-22,15:10:00,12680,13210,12680
53,2001-03-23,15:10:00,13210,13270,12680
54,2001-03-26,15:10:00,13760,13870,13210
55,2001-03-27,15:10:00,13560,13830,13510
56,2001-03-28,15:10:00,13720,13880,13560
57,2001-03-29,15:10:00,13050,13720,13000
58,2001-03-30,15:10:00,12980,13470,12920
59,2001-04-02,15:10:00,13120,13140,12790
60,2001-04-03,15:10:00,13230,13370,13010
61,2001-04-04,15:10:00,13220,13280,12860
62,2001-04-05,15:10:00,13440,13550,13220
63,2001-04-06,15:10:00,13320,13740,13280
64,2001-04-09,15:10:00,12810,13320,12770
65,2001-04-10,15:10:00,12680,12890,12570
66,2001-04-11,15:10:00,13120,13220,12680
67,2001-04-12,15:10:00,13340,13470,13120
68,2001-04-13,15:10:00,13360,13590,13280
69,2001-04-16,15:10:00,13260,13460,13220
70,2001-04-17,15:10:00,13020,13260,13010
71,2001-04-18,15:10:00,13810,13840,13020
72,2001-04-19,15:10:00,13910,14280,13810
73,2001-04-20,15:10:00,13820,14020,13680
74,2001-04-23,15:10:00,13710,14050,13620
75,2001-04-24,15:10:00,13830,13880,13390
76,2001-04-25,15:10:00,13850,13920,13760
77,2001-04-26,15:10:00,13940,14100,13850
78,2001-04-27,15:10:00,13960,14040,13780
79,2001-05-01,15:10:00,14380,14440,13960
80,2001-05-02,15:10:00,14340,14460,14290
81,2001-05-07,15:10:00,14560,14590,14170
82,2001-05-08,15:10:00,14300,14560,14220
83,2001-05-09,15:10:00,14180,14300,13940
84,2001-05-10,15:10:00,14010,14200,13980
85,2001-05-11,15:10:00,14110,14190,14010
86,2001-05-14,15:10:00,13900,14110,13820
87,2001-05-15,15:10:00,14090,14130,13780
88,2001-05-16,15:10:00,13760,14090,13670
89,2001-05-17,15:10:00,14000,14030,13710
90,2001-05-18,15:10:00,13900,14070,13870
91,2001-05-21,15:10:00,14210,14230,13900
92,2001-05-22,15:10:00,14060,14370,14050
93,2001-05-23,15:10:00,14060,14210,13960
94,2001-05-24,15:10:00,13890,14060,13790
95,2001-05-25,15:10:00,13840,13960,13750
96,2001-05-28,15:10:00,13770,13840,13700
97,2001-05-29,15:10:00,13820,13840,13690
98,2001-05-30,15:10:00,13480,13820,13460
99,2001-05-31,15:10:00,13300,13480,13200
100,2001-06-01,15:10:00,13210,13410,13220
101,2001-06-04,15:10:00,13280,13320,13200
102,2001-06-05,15:10:00,13100,13280,12980
103,2001-06-06,15:10:00,13150,13320,13100
104,2001-06-07,15:10:00,13250,13310,13040
105,2001-06-08,15:10:00,13510,13510,13250
106,2001-06-11,15:10:00,13220,13510,13210
107,2001-06-12,15:10:00,12830,13220,12810
108,2001-06-13,15:10:00,12920,12970,12800
109,2001-06-14,15:10:00,12820,12940,12810
110,2001-06-15,15:10:00,12800,12830,12580
111,2001-06-18,15:10:00,12670,12800,12650
112,2001-06-19,15:10:00,12550,12910,12510
113,2001-06-20,15:10:00,12630,12770,12490
114,2001-06-21,15:10:00,13000,13020,12630
115,2001-06-22,15:10:00,13050,13090,12930
116,2001-06-25,15:10:00,12840,13070,12810
117,2001-06-26,15:10:00,12980,13030,12830
118,2001-06-27,15:10:00,12790,12990,12790
119,2001-06-28,15:10:00,12690,12880,12560
120,2001-06-29,15:10:00,12920,12990,12690
121,2001-07-02,15:10:00,12770,12920,12620
122,2001-07-03,15:10:00,12820,12930,12740
123,2001-07-04,15:10:00,12620,12820,12580
124,2001-07-05,15:10:00,12610,12680,12520
125,2001-07-06,15:10:00,12270,12610,12270
126,2001-07-09,15:10:00,12250,12270,12030
127,2001-07-10,15:10:00,12260,12360,12140
128,2001-07-11,15:10:00,12020,12260,12000
129,2001-07-12,15:10:00,12410,12430,12020
130,2001-07-13,15:10:00,12340,12490,12290
131,2001-07-16,15:10:00,12320,12400,12260
132,2001-07-17,15:10:00,12130,12320,12110
133,2001-07-18,15:10:00,11880,12140,11840
134,2001-07-19,15:10:00,11920,11980,11860
135,2001-07-23,15:10:00,11570,11920,11530
136,2001-07-24,15:10:00,11830,11870,11550
137,2001-07-25,15:10:00,11860,12050,11750
138,2001-07-26,15:10:00,11800,11960,11770
139,2001-07-27,15:10:00,11810,11950,11690
140,2001-07-30,15:10:00,11560,11910,11530
141,2001-07-31,15:10:00,11870,11880,11560
