,Date,Close,Predict,Funds,Bull,Bear
0,2001-01-04,13691.490234375,0.0,,,
1,2001-01-05,13867.6103515625,1.0,1999.0,3.0,0.0
2,2001-01-09,13610.509765625,0.0,2044.0,0.0,0.0
3,2001-01-10,13432.650390625,0.0,2044.0,0.0,0.0
4,2001-01-11,13201.0703125,0.0,2044.0,0.0,0.0
5,2001-01-12,13347.740234375,1.0,2044.0,3.0,0.0
6,2001-01-15,13506.23046875,1.0,2044.0,3.0,0.0
7,2001-01-16,13584.4501953125,1.0,2044.0,3.0,0.0
8,2001-01-17,13667.6298828125,1.0,2044.0,3.0,0.0
9,2001-01-18,13873.919921875,1.0,2044.0,3.0,0.0
10,2001-01-19,13989.1201171875,1.0,2044.0,3.0,0.0
11,2001-01-22,14032.419921875,1.0,2293.0,3.0,0.0
12,2001-01-23,13984.66015625,1.0,2293.0,3.0,0.0
13,2001-01-24,13893.580078125,1.0,2311.0,3.0,0.0
14,2001-01-25,13803.3798828125,0.0,2374.0,0.0,0.0
15,2001-01-26,13696.0595703125,0.0,2374.0,0.0,0.0
16,2001-01-29,13845.2802734375,1.0,2374.0,3.0,0.0
17,2001-01-30,13826.650390625,1.0,2374.0,3.0,0.0
18,2001-01-31,13843.5498046875,1.0,2389.0,3.0,0.0
19,2001-02-01,13779.5498046875,1.0,2397.0,3.0,0.0
20,2001-02-02,13703.6298828125,0.0,2397.0,3.0,0.0
21,2001-02-05,13385.51953125,0.0,2451.0,0.0,0.0
22,2001-02-06,13269.849609375,0.0,2451.0,0.0,0.0
23,2001-02-07,13366.009765625,0.0,2451.0,0.0,0.0
24,2001-02-08,13138.23046875,0.0,2451.0,0.0,0.0
25,2001-02-09,13422.830078125,1.0,2451.0,3.0,0.0
26,2001-02-13,13274.7001953125,0.0,2451.0,3.0,0.0
27,2001-02-14,13284.0595703125,1.0,2451.0,3.0,0.0
28,2001-02-15,13327.3896484375,1.0,2451.0,3.0,0.0
29,2001-02-16,13175.490234375,0.0,2451.0,3.0,0.0
30,2001-02-19,13119.58984375,0.0,2451.0,3.0,0.0
31,2001-02-20,13248.3603515625,1.0,2451.0,3.0,0.0
32,2001-02-21,13100.080078125,0.0,2451.0,3.0,0.0
33,2001-02-22,13073.3603515625,0.0,2451.0,3.0,0.0
34,2001-02-23,13246.0,1.0,2451.0,3.0,0.0
35,2001-02-26,13201.1396484375,1.0,2451.0,3.0,0.0
36,2001-02-27,13059.8603515625,0.0,2451.0,3.0,0.0
37,2001-02-28,12883.5400390625,0.0,2451.0,3.0,0.0
38,2001-03-01,12681.66015625,0.0,2319.0,0.0,0.0
39,2001-03-02,12261.7998046875,0.0,2319.0,0.0,0.0
40,2001-03-05,12322.16015625,0.0,2319.0,0.0,0.0
41,2001-03-06,12687.740234375,1.0,2319.0,3.0,0.0
42,2001-03-07,12723.8896484375,1.0,2319.0,3.0,0.0
43,2001-03-08,12650.5595703125,1.0,2367.0,3.0,0.0
44,2001-03-09,12627.900390625,1.0,2400.0,3.0,0.0
45,2001-03-12,12171.3701171875,0.0,2409.0,0.0,0.0
46,2001-03-13,11819.7001953125,0.0,2409.0,0.0,0.0
47,2001-03-14,11843.58984375,0.0,2409.0,0.0,0.0
48,2001-03-15,12152.830078125,1.0,2409.0,3.0,0.0
49,2001-03-16,12232.98046875,1.0,2409.0,3.0,0.0
50,2001-03-19,12190.9697265625,1.0,2409.0,3.0,0.0
51,2001-03-21,13103.9404296875,1.0,2409.0,3.0,0.0
52,2001-03-22,12853.9697265625,0.0,2409.0,3.0,0.0
53,2001-03-23,13214.5400390625,1.0,2409.0,3.0,0.0
54,2001-03-26,13862.3095703125,1.0,2409.0,3.0,0.0
55,2001-03-27,13638.330078125,1.0,2921.0,4.0,0.0
56,2001-03-28,13765.509765625,1.0,2921.0,4.0,0.0
57,2001-03-29,13072.3603515625,0.0,3049.0,0.0,0.0
58,2001-03-30,12999.7001953125,0.0,3049.0,0.0,0.0
59,2001-04-02,12937.8603515625,0.0,3049.0,0.0,0.0
60,2001-04-03,13124.4697265625,1.0,3049.0,4.0,0.0
61,2001-04-04,13242.7802734375,1.0,3105.0,4.0,0.0
62,2001-04-05,13381.3798828125,1.0,3105.0,4.0,0.0
63,2001-04-06,13383.759765625,1.0,3105.0,4.0,0.0
64,2001-04-09,12841.759765625,0.0,3313.0,0.0,0.0
65,2001-04-10,12620.26953125,0.0,3313.0,0.0,0.0
66,2001-04-11,13174.9296875,1.0,3313.0,5.0,0.0
67,2001-04-12,13352.4404296875,1.0,3313.0,5.0,0.0
68,2001-04-13,13385.7197265625,1.0,3313.0,5.0,0.0
69,2001-04-16,13254.8896484375,1.0,3547.0,5.0,0.0
70,2001-04-17,13067.08984375,0.0,3647.0,0.0,0.0
71,2001-04-18,13641.7900390625,1.0,3647.0,5.0,0.0
72,2001-04-19,13868.2802734375,1.0,3647.0,5.0,0.0
73,2001-04-20,13765.669921875,1.0,3882.0,5.0,0.0
74,2001-04-23,13715.599609375,1.0,3882.0,5.0,0.0
75,2001-04-24,13743.1796875,1.0,3997.0,6.0,0.0
76,2001-04-25,13827.5,1.0,3997.0,6.0,0.0
77,2001-04-26,13973.0302734375,1.0,3997.0,6.0,0.0
78,2001-04-27,13934.3203125,1.0,4158.0,6.0,0.0
79,2001-05-01,14425.4599609375,1.0,4158.0,6.0,0.0
80,2001-05-02,14421.6396484375,1.0,4158.0,6.0,0.0
81,2001-05-07,14529.41015625,1.0,4158.0,6.0,0.0
82,2001-05-08,14289.0498046875,1.0,4536.0,6.0,0.0
83,2001-05-09,14084.849609375,0.0,4692.0,0.0,0.0
84,2001-05-10,14017.7900390625,0.0,4692.0,0.0,0.0
85,2001-05-11,14043.919921875,1.0,4692.0,7.0,0.0
86,2001-05-14,13873.01953125,0.0,4747.0,0.0,0.0
87,2001-05-15,14054.0302734375,1.0,4747.0,7.0,0.0
88,2001-05-16,13694.26953125,0.0,4775.0,0.0,0.0
89,2001-05-17,13910.669921875,1.0,4775.0,7.0,0.0
90,2001-05-18,13877.76953125,1.0,4775.0,7.0,0.0
91,2001-05-21,14176.830078125,1.0,4775.0,7.0,0.0
92,2001-05-22,14091.1904296875,1.0,4775.0,7.0,0.0
93,2001-05-23,14067.7001953125,1.0,5033.0,7.0,0.0
94,2001-05-24,13895.7900390625,0.0,5138.0,0.0,0.0
95,2001-05-25,13765.919921875,0.0,5138.0,0.0,0.0
96,2001-05-28,13737.76953125,0.0,5138.0,0.0,0.0
97,2001-05-29,13773.8896484375,1.0,5138.0,7.0,0.0
98,2001-05-30,13493.349609375,0.0,5138.0,7.0,0.0
99,2001-05-31,13262.1396484375,0.0,5138.0,7.0,0.0
100,2001-06-01,13261.83984375,0.0,4900.0,0.0,0.0
101,2001-06-04,13312.349609375,0.0,4900.0,0.0,0.0
102,2001-06-05,13182.0,0.0,4900.0,0.0,0.0
103,2001-06-06,13174.83984375,0.0,4900.0,0.0,0.0
104,2001-06-07,13277.509765625,1.0,4900.0,7.0,0.0
105,2001-06-08,13430.2197265625,1.0,4900.0,7.0,0.0
106,2001-06-11,13226.48046875,0.0,4900.0,7.0,0.0
107,2001-06-12,12840.099609375,0.0,5081.0,0.0,0.0
108,2001-06-13,12823.4501953125,0.0,5081.0,0.0,0.0
109,2001-06-14,12846.66015625,0.0,5081.0,0.0,0.0
110,2001-06-15,12790.3798828125,0.0,5081.0,0.0,0.0
111,2001-06-18,12697.7900390625,0.0,5081.0,0.0,0.0
112,2001-06-19,12574.259765625,0.0,5081.0,0.0,0.0
113,2001-06-20,12674.6396484375,0.0,5081.0,0.0,0.0
114,2001-06-21,12962.4296875,1.0,5081.0,7.0,0.0
115,2001-06-22,13044.6103515625,1.0,5081.0,7.0,0.0
116,2001-06-25,12896.4697265625,0.0,5144.0,0.0,0.0
117,2001-06-26,12978.8203125,1.0,5144.0,7.0,0.0
118,2001-06-27,12828.98046875,0.0,5179.0,0.0,0.0
119,2001-06-28,12679.8798828125,0.0,5179.0,0.0,0.0
120,2001-06-29,12969.0498046875,1.0,5178.0,7.0,0.0
121,2001-07-02,12751.1796875,0.0,5227.0,0.0,0.0
122,2001-07-03,12817.41015625,1.0,5227.0,7.0,0.0
123,2001-07-04,12629.01953125,0.0,5304.0,0.0,0.0
124,2001-07-05,12607.2998046875,0.0,5304.0,0.0,0.0
125,2001-07-06,12306.080078125,0.0,5304.0,0.0,0.0
126,2001-07-09,12239.6796875,0.0,5304.0,0.0,0.0
127,2001-07-10,12300.41015625,0.0,5304.0,0.0,0.0
128,2001-07-11,12005.1103515625,0.0,5304.0,0.0,0.0
129,2001-07-12,12407.9501953125,1.0,5304.0,8.0,0.0
130,2001-07-13,12355.150390625,0.0,5304.0,8.0,0.0
131,2001-07-16,12343.3701171875,0.0,5367.0,0.0,0.0
132,2001-07-17,12128.5703125,0.0,5367.0,0.0,0.0
133,2001-07-18,11892.580078125,0.0,5367.0,0.0,0.0
134,2001-07-19,11908.3896484375,0.0,5367.0,0.0,0.0
135,2001-07-23,11609.6298828125,0.0,5367.0,0.0,0.0
136,2001-07-24,11883.25,1.0,5367.0,8.0,0.0
137,2001-07-25,11891.6103515625,0.0,5367.0,8.0,0.0
138,2001-07-26,11858.5595703125,0.0,5543.0,0.0,0.0
139,2001-07-27,11798.080078125,0.0,5543.0,0.0,0.0
140,2001-07-30,11579.26953125,0.0,5543.0,0.0,0.0
141,2001-07-31,11860.76953125,1.0,5543.0,8.0,0.0
142,2001-08-01,11959.330078125,1.0,5543.0,8.0,0.0
143,2001-08-02,12399.2001953125,1.0,5543.0,8.0,0.0
144,2001-08-03,12241.9697265625,1.0,5990.0,9.0,0.0
145,2001-08-06,12243.900390625,1.0,6170.0,9.0,0.0
146,2001-08-07,12319.4599609375,1.0,6170.0,9.0,0.0
147,2001-08-08,12163.669921875,0.0,6323.0,0.0,0.0
148,2001-08-09,11754.5595703125,0.0,6323.0,0.0,0.0
149,2001-08-10,11735.0595703125,0.0,6323.0,0.0,0.0
150,2001-08-13,11477.5595703125,0.0,6323.0,0.0,0.0
151,2001-08-14,11917.9501953125,1.0,6322.0,9.0,0.0
152,2001-08-15,11755.400390625,1.0,6322.0,9.0,0.0
153,2001-08-16,11515.01953125,0.0,6322.0,9.0,0.0
154,2001-08-17,11445.5400390625,0.0,6322.0,9.0,0.0
155,2001-08-20,11257.9404296875,0.0,6007.0,0.0,0.0
156,2001-08-21,11280.3798828125,0.0,6007.0,0.0,0.0
157,2001-08-22,11396.4296875,1.0,6007.0,9.0,0.0
158,2001-08-23,11126.919921875,0.0,6097.0,0.0,0.0
159,2001-08-24,11166.3095703125,1.0,6096.0,9.0,0.0
160,2001-08-27,11275.009765625,1.0,6096.0,9.0,0.0
161,2001-08-28,11189.400390625,1.0,6285.0,9.0,0.0
